dataset,sse,view,reference,candidate,ssim,lpips
bagAmsterdam,12,0,bagAmsterdam__sse-4__view-0.png,bagAmsterdam__sse-12__view-0.png,0.9810598606852792,
bagAmsterdam,12,1,bagAmsterdam__sse-4__view-1.png,bagAmsterdam__sse-12__view-1.png,0.9658587050326064,
bagAmsterdam,12,2,bagAmsterdam__sse-4__view-2.png,bagAmsterdam__sse-12__view-2.png,0.9539089035003244,
bagAmsterdam,12,3,bagAmsterdam__sse-4__view-3.png,bagAmsterdam__sse-12__view-3.png,0.9710570247441881,
bagAmsterdam,12,4,bagAmsterdam__sse-4__view-4.png,bagAmsterdam__sse-12__view-4.png,0.9787450880477911,
bagAmsterdam,12,5,bagAmsterdam__sse-4__view-5.png,bagAmsterdam__sse-12__view-5.png,0.9780849976399842,
bagAmsterdam,16,0,bagAmsterdam__sse-4__view-0.png,bagAmsterdam__sse-16__view-0.png,0.9810598606852792,
bagAmsterdam,16,1,bagAmsterdam__sse-4__view-1.png,bagAmsterdam__sse-16__view-1.png,0.9658587050326064,
bagAmsterdam,16,2,bagAmsterdam__sse-4__view-2.png,bagAmsterdam__sse-16__view-2.png,0.9539089035003244,
bagAmsterdam,16,3,bagAmsterdam__sse-4__view-3.png,bagAmsterdam__sse-16__view-3.png,0.9710570247441881,
bagAmsterdam,16,4,bagAmsterdam__sse-4__view-4.png,bagAmsterdam__sse-16__view-4.png,0.9787450880477911,
bagAmsterdam,16,5,bagAmsterdam__sse-4__view-5.png,bagAmsterdam__sse-16__view-5.png,0.9780849976399842,
bagAmsterdam,24,0,bagAmsterdam__sse-4__view-0.png,bagAmsterdam__sse-24__view-0.png,0.9810598606852792,
bagAmsterdam,24,1,bagAmsterdam__sse-4__view-1.png,bagAmsterdam__sse-24__view-1.png,0.9658587050326064,
bagAmsterdam,24,2,bagAmsterdam__sse-4__view-2.png,bagAmsterdam__sse-24__view-2.png,0.9539089035003244,
bagAmsterdam,24,3,bagAmsterdam__sse-4__view-3.png,bagAmsterdam__sse-24__view-3.png,0.9710570247441881,
bagAmsterdam,24,4,bagAmsterdam__sse-4__view-4.png,bagAmsterdam__sse-24__view-4.png,0.9787450880477911,
bagAmsterdam,24,5,bagAmsterdam__sse-4__view-5.png,bagAmsterdam__sse-24__view-5.png,0.9780849976399842,
bagAmsterdam,32,0,bagAmsterdam__sse-4__view-0.png,bagAmsterdam__sse-32__view-0.png,0.9810598606852792,
bagAmsterdam,32,1,bagAmsterdam__sse-4__view-1.png,bagAmsterdam__sse-32__view-1.png,0.9658587050326064,
bagAmsterdam,32,2,bagAmsterdam__sse-4__view-2.png,bagAmsterdam__sse-32__view-2.png,0.9539089035003244,
bagAmsterdam,32,3,bagAmsterdam__sse-4__view-3.png,bagAmsterdam__sse-32__view-3.png,0.9710570247441881,
bagAmsterdam,32,4,bagAmsterdam__sse-4__view-4.png,bagAmsterdam__sse-32__view-4.png,0.9787450880477911,
bagAmsterdam,32,5,bagAmsterdam__sse-4__view-5.png,bagAmsterdam__sse-32__view-5.png,0.9780849976399842,
bagAmsterdam,48,0,bagAmsterdam__sse-4__view-0.png,bagAmsterdam__sse-48__view-0.png,0.9810598606852792,
